Word,Count
us,8286
people,2804
got,2337
could,2010
day,1904
one,1854
work,1775
taken,1731
food,1665
days,1641
took,1579
camp,1536
would,1507
later,1339
two,1325
arrived,1292
also,1138
bread,1030
ss,1009
away,988
went,962
even,961
three,938
time,935
worked,861
given,847
car,846
weeks,845
ghetto,810
put,803
men,791
get,765
jews,764
water,758
left,735
following,734
go,733
way,727
gave,723
clothes,718
came,717
died,698
since,681
many,649
already,642
block,641
night,640
first,636
back,629
cross,625
factory,621
started,619
stayed,617
transport,612
home,612
shot,606
morning,595
soup,589
person,585
every,569
jewish,556
germans,556
beat,554
auschwitz,552
women,552
hours,547
train,542
question,535
gendarmes,532
lived,528
told,527
received,522
hospital,519
made,516
around,515
spent,510
place,506
information,497
little,496
much,495
without,477
like,471
labour,471
set,471
april,470
four,462
cars,462
roll,456
another,454
arrow,450
wanted,450
german,442
prisoners,439
street,436
entrained,433
march,431
well,425
freight,425
next,424
evening,424
hungarian,423
company,421
together,420
may,413
dead,411
sent,409
half,400
cold,397
cattle,397
saw,396
children,395
know,388
till,388
journey,388
still,385
call,383
station,374
called,369
happened,367
working,366
leave,362
good,362
eat,361
take,357
sick,354
kept,344
death,344
lot,343
number,342
liberated,341
selected,335
beaten,334
long,330
guards,329
going,328
found,326
treated,325
five,323
whole,322
end,319
russians,316
americans,316
hard,314
allowed,313
months,312
stay,310
week,309
budapest,307
kilometres,306
service,303
everything,302
building,301
house,300
said,297
became,294
order,293
carried,287
among,286
crematorium,282
room,278
ill,277
asked,275
fell,275
great,272
lice,270
railway,269
anything,268
managed,267
travelled,262
six,261
beginning,261
nothing,261
everybody,261
foot,261
grams,254
dr,254
group,253
towards,253
however,250
beating,250
soldiers,249
life,247
weak,243
stand,241
terrible,239
therefore,239
bath,238
commander,237
lying,236
let,234
hair,234
loaf,233
man,233
separated,233
cut,232
assigned,231
kassa,230
open,230
right,230
ordered,229
horrible,227
brought,226
soon,226
escape,226
money,225
carry,224
completely,224
tried,223
air,221
coffee,221
often,221
immediately,220
bad,220
walk,219
see,218
rest,218
heard,215
shoes,215
line,212
last,211
treatment,210
always,209
finally,209
rations,209
give,208
quite,208
front,208
behind,208
road,207
others,206
enough,206
small,205
old,205
margarine,204
selections,204
father,204
suffered,202
houses,201
full,201
mother,200
young,199
better,198
times,196
crammed,193
although,193
walked,192
barrack,192
escaped,192
brick,192
slept,191
either,191
terribly,191
moved,190
move,190
course,190
bodies,189
someone,189
knew,189
hardly,189
supply,188
november,187
mauthausen,187
lay,186
never,186
october,184
december,183
police,183
sometimes,182
standing,182
typhus,182
polish,181
transported,180
poor,178
january,178
everyone,178
woman,177
red,177
village,176
family,173
lasted,172
parents,172
several,171
provisions,171
led,170
unfortunately,169
rain,169
members,169
marched,169
pm,169
families,168
able,167
lieutenant,167
kitchen,165
office,165
thought,165
handed,164
gas,164
hunger,164
toilet,163
part,163
american,163
entered,163
almost,161
lined,160
travel,159
military,158
troops,158
litre,157
fever,157
russian,156
want,155
june,155
ground,155
belongings,155
barracks,155
english,154
mengele,154
new,154
ate,154
baths,153
remained,153
valuables,152
head,152
escorted,152
appeared,151
corpses,150
close,150
seized,149
help,149
marching,149
killed,149
waiting,148
find,148
liberation,147
hand,147
wash,146
felt,146
future,143
badly,143
searched,142
bed,142
servicemen,142
come,141
side,141
noon,140
meant,140
lunch,139
starving,139
distributed,139
caught,138
girls,138
keep,138
due,138
luggage,137
used,137
floor,136
transports,136
job,134
worse,134
officer,134
possible,133
situation,133
doctor,133
sergeant,133
hit,133
twice,133
country,132
eight,132
living,132
daily,130
council,130
chased,129
make,129
along,129
forest,128
heavy,128
walking,128
persons,128
town,127
czech,127
deported,126
returned,126
potatoes,125
noticed,125
palestine,125
elderly,125
provided,125
second,124
large,124
protected,124
clean,123
ran,123
flat,122
alive,122
looked,122
border,122
things,121
approaching,121
afternoon,121
forced,121
pest,120
snow,120
turnip,119
needed,119
naked,118
stopped,118
sister,117
shoot,117
school,117
locked,116
policemen,116
relatives,116
hungary,116
far,116
starved,116
reason,115
city,115
september,115
naturally,115
something,114
guarded,114
opened,114
somebody,114
buchenwald,113
conditions,113
trenches,113
pieces,113
striped,112
broke,112
minutes,112
care,112
blankets,112
bring,110
circumstances,110
travelling,110
ca,110
met,109
calls,109
yellow,109
stood,109
accommodated,109
lodged,109
hands,109
hungry,109
afterwards,107
high,107
arrival,107
hour,107
example,106
ten,105
piece,105
mine,105
groups,105
medical,104
captain,104
raid,103
meanwhile,103
suffering,103
reached,103
july,102
younger,102
huge,102
places,102
different,102
patients,101
hundred,101
outside,101
günskirchen,101
soldier,101
star,101
case,100
least,99
survived,97
selection,97
threw,97
years,97
passed,97
dug,97
especially,97
return,97
hungarians,97
heads,97
underwear,96
sleep,96
finished,96
infirmary,96
fire,96
near,96
third,96
winter,96
feet,95
middle,95
brother,95
began,94
difficult,94
nice,94
frontline,94
dawn,94
coming,94
wooden,94
chamber,93
burnt,93
ones,93
crying,93
plans,93
big,93
labourers,93
etc,92
hegyeshalom,92
square,92
list,92
diarrhoea,92
decagrams,92
closed,92
potato,92
executed,92
flats,92
embassy,92
swiss,91
saying,91
evacuated,91
built,91
thin,91
nights,91
separate,91
remember,91
constantly,91
doctors,90
single,90
prague,89
disinfected,89
transferred,89
brickyard,89
nobody,88
lost,88
august,88
brothers,87
happen,87
sit,87
shooting,87
inhabitants,87
germany,86
dachau,86
protection,86
officers,86
turned,86
instead,86
grass,86
husband,86
relatively,86
reported,86
free,85
collected,85
ready,85
exhaustion,85
józsefváros,85
covered,84
black,84
dirty,84
followed,84
prepared,84
christian,84
warm,84
guard,84
including,83
continued,83
say,83
result,83
whether,83
unable,83
authorities,83
friend,82
consisted,82
blocks,82
look,82
bucket,82
trip,82
hiding,82
anyway,81
local,81
decilitres,81
partly,81
longer,80
plant,80
punishment,79
february,79
mud,78
charge,78
straw,78
sisters,78
kind,78
ravensbrück,78
helped,78
run,78
happy,78
awful,77
girl,77
getting,77
report,77
really,77
face,77
stole,76
mostly,76
dragged,76
szeged,76
extremely,76
lie,75
area,75
documents,75
upon,75
yet,75
c,74
beds,74
turnips,74
start,74
medicine,74
shifts,74
turn,74
thousand,74
national,74
collapsed,74
ammunition,73
closer,73
courtyard,73
starvation,73
less,73
yard,73
dig,73
drink,72
war,72
headquarters,72
else,72
thing,72
die,72
hold,72
within,72
comrades,72
bunk,71
wife,71
munkács,71
threatened,71
wait,70
strong,70
gold,70
severely,70
fact,70
cooked,70
staying,70
early,70
streets,70
recovered,70
raids,70
impossible,70
hot,69
believe,69
swedish,69
dark,69
robbed,69
believed,69
workplace,69
via,69
unit,69
dress,69
prisoner,69
dressed,69
injured,68
showed,68
jewellery,68
entire,68
condition,68
inside,67
leader,67
danube,67
construction,67
captured,67
crossed,67
wet,66
drafted,66
lives,66
windows,66
lagerführer,66
kilos,65
capos,65
french,65
thrown,65
joined,65
surrounded,65
fence,65
neither,65
pack,65
sitting,64
need,64
name,64
ungvár,64
chance,64
named,63
healthy,63
watch,63
woke,63
gendarme,63
physician,63
suddenly,63
live,63
talk,63
best,63
think,63
machine,62
tents,62
month,62
informed,62
wear,62
whatever,62
state,62
friends,62
hid,62
community,61
body,61
cases,61
gate,61
quarantine,61
serious,61
boy,61
plenty,61
poland,61
period,61
indeed,61
continuously,61
cruel,61
worst,60
birkenau,60
deportation,60
supplies,60
save,60
receive,60
boys,60
camps,60
numbers,60
approximately,60
stones,59
short,59
typhoid,59
gestapo,59
clothing,59
everywhere,59
neighbouring,59
door,59
saved,59
child,59
gathered,58
caused,58
army,58
exchange,58
quarter,58
search,58
sunday,58
tell,58
human,58
undress,58
female,58
undressed,58
centre,58
trucks,58
chief,58
